estimate_var_code,estimate_description,denominator_var_code,denominator_description
DP02_0001E,Total households,,
DP02_0014E,Households with one or more people under 18 years,DP02_0001E,Total households
DP02_0053E,"Population 3 years and over, enrolled in school",DP02_0088E,Total population
DP02_0054E,"Enrolled in nursery school, preschool",DP02_0053E,"Population 3 years and over, enrolled in school"
DP02_0055E,Enrolled in Kindergarten,DP02_0053E,"Population 3 years and over, enrolled in school"
DP02_0056E,Enrolled in grades 1-8,DP02_0053E,"Population 3 years and over, enrolled in school"
DP02_0057E,Enrolled in grades 9-12,DP02_0053E,"Population 3 years and over, enrolled in school"
DP02_0058E,Enrolled in college or graduate school,DP02_0053E,"Population 3 years and over, enrolled in school"
DP02_0059E,Population 25 years and over,DP02_0088E,Total population
DP02_0060E,Less than 9th grade,DP02_0059E,Population 25 years and over
DP02_0061E,"9th to 12th grade, no diploma",DP02_0059E,Population 25 years and over
DP02_0062E,High school graduate,DP02_0059E,Population 25 years and over
DP02_0068E,Bachelor's degree or higher,DP02_0059E,Population 25 years and over
DP02_0069E,Civilian population 18 years and over,DP02_0088E,Total population
DP02_0070E,Civilian veterans,DP02_0069E,Civilian population 18 years and over
DP02_0071E,Civilian noninstitutionalized population,DP02_0088E,Total population
DP02_0072E,With a disability,DP02_0071E,Civilian noninstitutionalized population
DP02_0073E,"Civilian noninstitutionalized population, under 18 years",DP02_0088E,Total population
DP02_0074E,"With a disability, under 18 years",DP02_0073E,"Civilian noninstitutionalized population, under 18 years"
DP02_0075E,"Civilian noninstitutionalized population, 18 to 64 years",DP02_0088E,Total population
DP02_0076E,"With a disability, 18 to 64 years",DP02_0075E,"Civilian noninstitutionalized population, 18 to 64 years"
DP02_0077E,"Civilian noninstitutionalized population, 65 years and over",DP02_0088E,Total population
DP02_0078E,"With a disability, 65 years and over",DP02_0077E,"Civilian noninstitutionalized population, 65 years and over"
DP02_0079E,Population 1 year and over,DP02_0088E,Total population
DP02_0080E,Same house,DP02_0079E,Population 1 year and over
DP02_0082E,"Different house, in the U.S.",DP02_0079E,Population 1 year and over
DP02_0087E,"Different house, abroad",DP02_0079E,Population 1 year and over
DP02_0088E,Total population,,
DP02_0089E,U.S. Native,DP02_0088E,Total population
DP02_0090E,Born in the U.S.,DP02_0088E,Total population
DP02_0093E,"Born in Puerto Rico, U.S. Island areas, or abroad to American parent(s)",DP02_0088E,Total population
DP02_0094E,Foreign born,DP02_0088E,Total population
DP02_0096E,Naturalized U.S. citizen,DP02_0094E,Foreign born
DP02_0097E,Not a U.S. citizen,DP02_0094E,Foreign born
DP02_0106E,"Foreign born, Europe",DP02_0094E,Foreign born
DP02_0107E,"Foreign born, Asia",DP02_0094E,Foreign born
DP02_0108E,"Foreign born, Africa",DP02_0094E,Foreign born
DP02_0109E,"Foreign born, Oceania",DP02_0094E,Foreign born
DP02_0110E,"Foreign born, Latin America",DP02_0094E,Foreign born
DP02_0111E,"Foreign born, Northern America",DP02_0094E,Foreign born
DP02_0112E,Population 5 years and over,DP02_0088E,Total population
DP02_0113E,Speak only English at home,DP02_0112E,Population 5 years and over
DP02_0115E,"Speak English less than ""very well""",DP02_0112E,Population 5 years and over
DP02_0116E,Speak Spanish at home,DP02_0112E,Population 5 years and over
DP02_0153E,Households with a computer,DP02_0001E,Total households
